Surfactant,AW_ST_CMC,SMILES,InChI,Molecular_Weight,source_doi,reference_doi,ref_keys,Temp_Celsius
S-Octyl 5-Thio- D-Arabinonolactone,24.1,CCCCCCCCSC[C@H]1OC(=O)[C@@H](O)[C@@H]1O,"InChI=1S/C13H24O4S/c1-2-3-4-5-6-7-8-18-9-10-11(14)12(15)13(16)17-10/h10-12,14-15H,2-9H2,1H3/t10-,11-,12+/m1/s1",276.39799999999997,10.1016/j.jcis.2018.01.051,10.1016/j.jcis.2004.01.020,lalot2004,20.850000000000023
"Octyl- D,L-Glycerol",24.5,CCCCCCCCOC(O)CO,"InChI=1S/C10H22O3/c1-2-3-4-5-6-7-8-13-10(12)9-11/h10-12H,2-9H2,1H3",190.28300000000002,10.1016/j.jcis.2018.01.051,10.1021/j150575a003,shinoda1959,25.850000000000023
1-Butylhexyl- b-D-Glucoside,25.1,CCCCCC(CCCC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"InChI=1S/C16H32O6/c1-3-5-7-9-11(8-6-4-2)21-16-15(20)14(19)13(18)12(10-17)22-16/h11-20H,3-10H2,1-2H3/t11?,12-,13-,14+,15-,16-/m1/s1",320.42600000000016,10.1016/j.jcis.2018.01.051,10.5650/jos1956.40.709,matsumura1991,25.850000000000023
S-Hexyl 5-Thio- D-Arabinonolactone,25.1,CCCCCCSC[C@H]1OC(=O)[C@@H](O)[C@@H]1O,"InChI=1S/C11H20O4S/c1-2-3-4-5-6-16-7-8-9(12)10(13)11(14)15-8/h8-10,12-13H,2-7H2,1H3/t8-,9-,10+/m1/s1",248.344,10.1016/j.jcis.2018.01.051,10.1016/j.jcis.2004.01.020,lalot2004,20.850000000000023
"1-O-Nonanoyl- D,L-Xylitol",25.4,CCCCCCCC(=O)OC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,"InChI=1S/2C13H26O6/c2*1-2-3-4-5-6-7-12(17)19-9-11(16)13(18)10(15)8-14/h2*10-11,13-16,18H,2-9H2,1H3/t2*10-,11+,13+/m10/s1",556.6900000000005,10.1016/j.jcis.2018.01.051,10.1016/S0378-5173(99)00078-2,savelli1999,25.850000000000023
S-Octyl 5-Thio- D-Xylonolactone,25.7,CCCCCCCCSC[C@H]1OC(=O)[C@H](O)[C@H]1O,"InChI=1S/C13H24O4S/c1-2-3-4-5-6-7-8-18-9-10-11(14)12(15)13(16)17-10/h10-12,14-15H,2-9H2,1H3/t10-,11+,12-/m1/s1",276.39799999999997,10.1016/j.jcis.2018.01.051,10.1016/j.jcis.2004.01.020,lalot2004,20.850000000000023
"1-O-Decanoyl- D,L-Xylitol",26.0,CCCCCCCCCC(=O)OC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCCCCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,"InChI=1S/2C15H30O6/c2*1-2-3-4-5-6-7-8-9-14(19)21-11-13(18)15(20)12(17)10-16/h2*12-13,15-18,20H,2-11H2,1H3/t2*12-,13+,15+/m10/s1",612.7980000000007,10.1016/j.jcis.2018.01.051,10.1016/S0378-5173(99)00078-2,savelli1999,25.850000000000023
1-Propylheptyl- b-D-Glucoside,26.0,CCCCCCC(CCC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"InChI=1S/C16H32O6/c1-3-5-6-7-9-11(8-4-2)21-16-15(20)14(19)13(18)12(10-17)22-16/h11-20H,3-10H2,1-2H3/t11?,12-,13-,14+,15-,16-/m1/s1",320.42599999999993,10.1016/j.jcis.2018.01.051,10.5650/jos1956.40.709,matsumura1991,25.850000000000023
Dodecanoyl- N-Methylglyceramine,26.1,CCCCCCCCCCN(C)CC(O)CO,"InChI=1S/C14H31NO2/c1-3-4-5-6-7-8-9-10-11-15(2)12-14(17)13-16/h14,16-17H,3-13H2,1-2H3",245.40699999999993,10.1016/j.jcis.2018.01.051,10.1007/s11743-999-0089-0,zhu1999,25.850000000000023
S-Hexyl 5-Thio- D-Xylonolactone,26.3,CCCCCCSC[C@H]1OC(=O)[C@H](O)[C@H]1O,"InChI=1S/C11H20O4S/c1-2-3-4-5-6-16-7-8-9(12)10(13)11(14)15-8/h8-10,12-13H,2-7H2,1H3/t8-,9+,10-/m1/s1",248.344,10.1016/j.jcis.2018.01.051,10.1016/j.jcis.2004.01.020,lalot2004,20.850000000000023
