Compound,cmc (mM),γcmc (mN/m),Γmax (mol/Å2) (10 10),Amin (Å2),C20 (mM),cmc/C20,Temp_Celsius,source_doi,reference_doi,SMILES
1a,16.2,44.2,2.7,62,8.13,1.8,25.0,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[n+]1ccccc1.[Cl-]
1b,11.5,39.1,3.3,50,4.68,2.5,25.0,10.1016/j.jcis.2009.09.009,10.1021/j100393a025,CCCCCCCCCCCC[n+]1ccccc1.[Br-]
2a,14.2,43.4,2.23,74,6.03,2.34,25.0,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[n+]1ccc(C)cc1.[Cl-]
2a,1.51,62.5,1.57,106,,,25.0,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[n+]1ccc(C)cc1.[Cl-]
2b,9.15,40.0,2.43,68,3.16,2.79,25.0,10.1016/j.jcis.2009.09.009,10.1021/jo0006425,CCCCCCCCCCCC[n+]1ccc(C)cc1.[Br-]
2b,0.32,64.5,1.67,100,,,25.0,10.1016/j.jcis.2009.09.009,10.1021/jo0006425,CCCCCCCCCCCC[n+]1ccc(C)cc1.[Br-]
3a,7.76,47.2,1.8,92,3.02,2.52,25.0,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[N+]1=CC=C(C)C2=C1C=CC=C2.[Cl-]
3a,0.52,65.4,0.81,285,,,25.0,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[N+]1=CC=C(C)C2=C1C=CC=C2.[Cl-]
3b,4.3,42.3,1.96,85,1.48,2.88,25.0,10.1016/j.jcis.2009.09.009,10.1021/jo0006425,CCCCCCCCCCCC[N+]1=CC=C(C)C2=C1C=CC=C2.[Br-]
3b,0.1,65.4,0.61,271,,,25.0,10.1016/j.jcis.2009.09.009,10.1021/jo0006425,CCCCCCCCCCCC[N+]1=CC=C(C)C2=C1C=CC=C2.[Br-]
3b,0.019,68.5,0.31,541,,,25.0,10.1016/j.jcis.2009.09.009,10.1021/jo0006425,CCCCCCCCCCCC[N+]1=CC=C(C)C2=C1C=CC=C2.[Br-]
