surfactant,cmc (mmol dm-3),method,γcmc (mN m-1),106Γ (mol m-2),A (nm2/molecule),ΔG°mic (kJ mol-1),ΔG°ads (kJ mol-1),Temp_Celsius,source_doi,reference_doi,SMILES
3C8trisQ,,tensiometry,,0.875,1.9,,,25,10.1021/la301220y,,CCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCC)CC[N+](C)(C)CCCCCCCC.[Br-].[Br-].[Br-]
3C10trisQ,1.17,tensiometry,33.4,0.883,1.88,-30,-74,25,10.1021/la301220y,,CCCCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-]
3C12trisQ,0.139,tensiometry,32.3,0.82,2.03,-36.3,-85,25,10.1021/la301220y,,CCCCCCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-].[Br-]
3C14trisQ,0.00647,tensiometry,32.1,0.97,1.7,-33.7,-75,25,10.1021/la301220y,,CCCCCCCCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-].[Br-]
C12TAB,14,tensiometry,38.6,3.42,0.49,-18.3,,25,10.1021/la301220y,10.1021/la960230k,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
C12TAB,16,tensiometry,39,,,,,25,10.1021/la301220y,10.1021/la9904096,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
12-2-12,0.9,tensiometry,31.4,2.31,0.72,,,25,10.1021/la301220y,10.1021/la960230k,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-]
12-2-12,0.967,tensiometry,32.4,,,,,25,10.1021/la301220y,10.1021/la0003692,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-]
12-2-12-2-12,0.08,tensiometry,,1.29,1.28,,,25,10.1021/la301220y,10.1021/la960230k,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(CCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-].[Br-]
12-2-12-2-12,0.065,tensiometry,36.4,1.11,1.48,,,25,10.1021/la301220y,10.1016/S0021-9797(03)00694-5,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(CCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-].[Br-]
12-3-12-3-12,0.14,tensiometry,,1.75,1.47,-64.5,,25,10.1021/la301220y,10.1021/la990645g,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(CCCCCCCCCCCC)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-].[Br-]
12-6-12-6-12,0.28,tensiometry,,0.7,2.49,-57,,25,10.1021/la301220y,10.1021/la990645g,CCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(CCCCCCCCCCCC)CCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-].[Br-]
3C8trisQ,,conductometry,,,,,,25,10.1021/la301220y,,CCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCC)CC[N+](C)(C)CCCCCCCC.[Br-].[Br-].[Br-]
3C10trisQ,1.6,conductometry,,,,,,25,10.1021/la301220y,,CCCCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-]
3C12trisQ,0.177,conductometry,,,,,,25,10.1021/la301220y,,CCCCCCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-].[Br-]
3C14trisQ,0.384,conductometry,,,,,,25,10.1021/la301220y,,CCCCCCCCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-].[Br-]
